id;description;file_upload_id;compilation_status;compilation_type;compilation_token
1;Producer Generic Metal Bacon Unbranded;77512;COMPLETE;AMORTIZATION_ENTRY_COMPILATION;Nebraska protocol
2;standardization;64478;COMPLETE;AMORTIZATION_ENTRY_COMPILATION;bluetooth reintermediate Facilitator
3;Arizona Plastic Fully-configurable;1328;COMPLETE;PREPAYMENT_ENTRY_COMPILATION;Place B2C
4;Mobility;87705;FAILED;AMORTIZATION_ENTRY_COMPILATION;Fantastic back up
5;Yuan Renminbi interface;67290;FAILED;AMORTIZATION_ENTRY_COMPILATION;Steel evolve
6;virtual next-generation innovate;30907;IN_PROGRESS;PREPAYMENT_ENTRY_COMPILATION;withdrawal intermediate
7;Facilitator Computer;93970;FAILED;PREPAYMENT_ENTRY_COMPILATION;brand
8;synergies Shoes Grass-roots;90908;FAILED;AMORTIZATION_ENTRY_COMPILATION;plum
9;Zimbabwe platforms;66935;FAILED;AMORTIZATION_ENTRY_COMPILATION;portals
10;website systems Unbranded Plastic Soap;43658;FAILED;PREPAYMENT_ENTRY_COMPILATION;green Sleek Reverse-engineered
