id;description;time_sent;token_value;received;actioned;content_fully_enqueued
1;Incredible Steel Cheese SQL;96995;communities info-mediaries;false;false;false
2;back-end;95055;online application pixel;true;true;false
3;Baby solid state;15732;Practical Concrete parsing;false;false;false
4;Plain De-engineered red;96794;synergy;true;true;false
5;input generate;26277;networks software;true;false;false
6;Communications deposit Rustic Fresh Pizza;63866;Car programming;true;true;false
7;Virtual;33496;payment;false;true;false
8;violet;28862;orchid;false;true;true
9;Exclusive;25920;driver Avon;false;false;true
10;Massachusetts;30578;calculate Lead Rupiah;false;true;false
