id;account_name;description;account_number;prepayment_number;prepayment_date;transaction_amount;upload_token;prepayment_data_id;compilation_token
1;Checking Account;synthesizing;Engineer scale;Incredible Cotton Pizza orange;2021-01-11;61281;seamless redundant;56552;Springs
2;Personal Loan Account;Malagasy Ariary Maine Greece;Mandatory Wyoming;Refined Granite Pizza Agent;2021-01-11;10945;AI HDD Principal;57645;connecting archive
3;Investment Account;iterate redundant;Kwacha;Lead;2021-01-10;45841;Cambridgeshire Bedfordshire 1080p;59306;model
4;Investment Account;Kuwaiti Dinar Keyboard;Frozen Handcrafted Granite Chair transmitter;Legacy;2021-01-11;98996;THX;38796;Club Coordinator Awesome Concrete Tuna
5;Credit Card Account;Analyst info-mediaries collaboration;Steel;Orchestrator AGP;2021-01-11;11663;partnerships;66361;Auto Loan Account
6;Money Market Account;alarm;Borders;neural Avon;2021-01-11;16885;invoice Seamless;93820;User-friendly
7;Auto Loan Account;Organic Facilitator applications;data-warehouse Automotive;open-source Generic Plastic Chicken e-services;2021-01-11;31673;3rd generation Designer;20230;silver Facilitator
8;Money Market Account;Human;Buckinghamshire Sleek compressing;Mews quantify New Caledonia;2021-01-10;87470;Palladium orchid;47250;silver Saint Lucia
9;Personal Loan Account;Architect Auto Loan Account;interactive Clothing;Dynamic;2021-01-11;22015;complexity secondary customer loyalty;88632;RSS Technician
10;Home Loan Account;overriding Developer Jewelery;withdrawal Ball;programming;2021-01-10;66395;Unbranded Division;22749;monitor
