id;account_name;description;account_number;expense_account_number;prepayment_number;prepayment_date;transaction_amount;amortization_date;upload_token;prepayment_data_id;compilation_token
1;Home Loan Account;relationships Licensed Rubber Pants optical;RAM exuding Malaysian Ringgit;Rustic Soft Ball;Motorway;2021-01-11;52505;2021-01-11;Rubber;91667;multi-byte Buckinghamshire
2;Money Market Account;disintermediate Berkshire;Games;backing up Auto Loan Account;turn-key matrix;2021-01-10;10661;2021-01-11;synergistic;5237;Rustic open architecture
3;Checking Account;Customer asymmetric directional;Concrete;Plastic;solid state transmitting Orchestrator;2021-01-10;71925;2021-01-11;microchip dynamic programming;51975;envisioneer synthesizing technologies
4;Savings Account;invoice tan Administrator;auxiliary Idaho redundant;Director cross-platform lime;envisioneer Buckinghamshire;2021-01-10;79321;2021-01-10;function;82589;Virgin Islands, British
5;Personal Loan Account;invoice Pound Sterling;Intelligent;input Auto Loan Account;Checking Account 1080p user-centric;2021-01-10;60213;2021-01-11;ubiquitous Handcrafted Soft Bacon National;74407;Plastic HDD embrace
6;Home Loan Account;Planner tan;B2C Associate;generate;auxiliary;2021-01-10;55116;2021-01-11;revolutionize connect;44439;turquoise Sleek Concrete Shoes
7;Savings Account;invoice;Plastic;Viaduct calculate transmitting;Specialist Generic Washington;2021-01-10;79988;2021-01-11;deposit bleeding-edge;80356;Investor
8;Money Market Account;Bedfordshire;Unbranded networks;Intelligent Steel Table migration Terrace;open-source Indian Rupee Ngultrum Ohio;2021-01-11;23891;2021-01-11;Steel Kansas Qatar;38595;Intelligent calculate Refined
9;Credit Card Account;Buckinghamshire;Specialist Ergonomic Re-contextualized;AI;Mills;2021-01-11;65233;2021-01-10;Computer;91604;Jamaica
10;Checking Account;Highway;tertiary compelling;Won Frozen;frictionless Forward;2021-01-10;79342;2021-01-10;National Assimilated;24785;Checking Account Persistent
