id;description;file_name;period_from;period_to;preps_file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;incentivize Human;Baby even-keeled;2021-01-13;2021-01-14;59875;../fake-data/blob/hipster.png;image/png;true;true;alarm Multi-tiered Avon
2;user-centric Somoni Berkshire;RSS;2021-01-13;2021-01-13;23682;../fake-data/blob/hipster.png;image/png;false;true;Handcrafted Granite Bike
3;Money Market Account redundant calculate;Borders Quality;2021-01-14;2021-01-13;74647;../fake-data/blob/hipster.png;image/png;true;false;Customer Bacon Internal
4;quantify;Prairie flexibility Extended;2021-01-14;2021-01-14;74991;../fake-data/blob/hipster.png;image/png;false;true;frictionless transition
5;synergistic demand-driven Music;Virginia Berkshire reboot;2021-01-14;2021-01-13;72670;../fake-data/blob/hipster.png;image/png;false;false;bandwidth Sharable
6;Guatemala Valley B2B;B2C Bedfordshire;2021-01-13;2021-01-13;24872;../fake-data/blob/hipster.png;image/png;false;false;mesh virtual Bike
7;connecting;knowledge base array;2021-01-14;2021-01-13;50472;../fake-data/blob/hipster.png;image/png;true;true;motivating
8;SDR initiatives;Decentralized Jewelery customized;2021-01-13;2021-01-13;53684;../fake-data/blob/hipster.png;image/png;true;false;Synergized connecting
9;Handmade Fresh Keyboard;Liaison Fantastic upward-trending;2021-01-14;2021-01-14;99023;../fake-data/blob/hipster.png;image/png;false;false;input
10;Cambridgeshire Future;Administrator;2021-01-14;2021-01-14;19152;../fake-data/blob/hipster.png;image/png;false;true;Shirt Creative payment
